src_country,dst_country,n,min_ms,p50_ms,p90_ms,p95_ms,max_ms,mean_ms,average_ms
CL,CL,128,-1.000,1.544,9.600,13.621,106.502,5.678,5.731
CL,CM,16,-1.000,327.069,346.800,346.800,350.794,285.596,304.702
CL,CN,64,-1.000,308.720,355.278,360.694,377.912,263.787,267.990
CL,CO,96,-1.000,109.924,165.301,184.915,219.529,94.489,95.494
CL,CR,48,-1.000,146.662,162.587,165.593,186.320,135.842,138.754
CL,CZ,262,-1.000,225.309,254.502,258.843,285.180,199.480,201.802
CL,DE,1983,-1.000,211.468,241.205,248.720,341.406,169.892,171.633
CL,DJ,32,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CL,DK,124,-1.000,214.471,248.344,256.601,268.413,172.418,173.828
CL,DO,64,-1.000,120.690,135.479,137.541,149.817,113.811,115.633
CL,EC,64,-1.000,146.864,185.952,194.763,221.568,119.975,121.895
CL,EE,64,-1.000,244.071,263.201,273.689,284.311,221.778,225.314
CL,ES,222,-1.000,210.323,233.519,245.043,276.828,167.723,169.257
CL,FI,232,-1.000,235.944,261.897,270.194,297.429,224.146,226.104
CL,FM,16,-1.000,287.051,324.416,324.416,329.568,270.483,288.582
CL,FR,779,-1.000,206.745,231.376,239.454,284.404,162.914,164.615
CL,GB,662,-1.000,198.700,234.762,244.754,301.098,146.418,147.993
CL,GE,46,-1.000,-1.000,285.704,297.154,306.170,91.839,304.042
CL,GH,15,-1.000,280.166,467.956,467.956,505.515,194.090,208.025
CL,GR,106,-1.000,239.546,270.264,276.543,281.231,175.572,177.254
CL,GT,32,-1.000,119.848,145.606,146.757,154.433,111.225,114.845
CL,HK,42,-1.000,309.279,338.497,346.116,400.618,217.051,222.369
CL,HN,16,-1.000,129.040,139.847,139.847,141.165,120.448,128.545
CL,HR,16,-1.000,232.196,242.456,242.456,252.958,214.888,229.281
CL,HU,58,-1.000,-1.000,240.869,248.064,266.045,115.462,396.341
CL,ID,242,-1.000,348.459,384.318,398.988,423.918,220.559,222.405
CL,IE,32,-1.000,206.416,243.635,243.795,263.131,194.295,200.595
CL,IL,30,-1.000,-1.000,265.444,272.703,287.066,126.751,424.837
CL,IM,16,-1.000,220.429,239.829,239.829,265.558,206.569,220.407
CL,IN,156,-1.000,379.856,450.084,477.172,551.776,296.245,300.105
CL,IQ,16,-1.000,272.988,288.937,288.937,306.116,260.142,277.551
CL,IR,148,-1.000,-1.000,293.410,304.372,423.865,95.100,322.245
CL,IS,16,-1.000,247.021,264.196,264.196,269.328,230.599,246.039
CL,IT,419,-1.000,220.060,255.310,266.046,334.839,191.449,193.304
CL,JP,310,-1.000,263.350,310.386,347.583,404.916,211.285,213.359
CL,KE,48,-1.000,352.709,392.797,413.795,450.273,294.763,301.056
CL,KG,16,-1.000,313.025,348.138,348.138,353.119,294.235,313.917
CL,KH,12,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CL,KR,64,-1.000,301.124,356.963,377.190,419.282,251.079,255.080
CL,KZ,346,-1.000,302.730,340.983,416.910,850.225,279.584,282.038
CL,LB,16,-1.000,280.242,300.730,300.730,302.819,245.116,261.524
CL,LK,40,-1.000,358.705,385.782,390.938,419.394,326.082,334.469
CL,LT,56,-1.000,244.384,268.461,269.730,279.493,229.211,233.397
CL,LU,160,-1.000,219.987,247.989,251.717,425.700,204.321,206.920
CL,LV,16,-1.000,251.861,259.437,259.437,260.813,228.790,244.109
CL,MD,30,-1.000,-1.000,264.102,265.788,282.031,125.589,420.963
CL,MK,32,-1.000,239.810,262.853,265.029,270.986,157.039,162.137
CL,MN,16,-1.000,327.766,381.207,381.207,464.860,325.756,347.540
CL,MU,32,-1.000,401.067,430.103,434.183,475.981,319.254,329.585
CL,MV,16,-1.000,402.459,412.118,412.118,417.436,367.722,392.303
CL,MX,100,-1.000,143.683,188.887,198.486,225.676,117.249,118.443
CL,MY,64,-1.000,341.007,370.172,373.865,418.611,287.239,291.814
CL,MZ,16,-1.000,356.356,375.233,375.233,393.551,337.764,360.348
CL,NC,16,-1.000,353.452,383.193,383.193,383.988,334.931,357.326
CL,NG,40,-1.000,306.415,376.178,422.274,442.782,252.429,258.927
CL,NL,988,-1.000,211.961,243.248,248.746,423.239,190.318,192.274
CL,NO,122,-1.000,220.979,249.455,255.517,272.157,180.387,181.886
CL,NP,46,-1.000,387.982,457.495,464.347,480.216,270.514,276.548
CL,NZ,104,-1.000,302.255,354.420,382.882,431.819,253.715,256.188
CL,PA,16,-1.000,153.413,168.630,168.630,169.085,145.252,155.002
CL,PE,48,-1.000,32.368,164.127,174.619,215.292,49.006,50.070
CL,PG,7,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CL,PH,126,-1.000,334.200,394.062,410.605,520.202,289.314,291.637
CL,PK,30,-1.000,-1.000,366.251,381.163,414.089,173.269,579.897
CL,PL,220,-1.000,227.415,262.139,268.289,284.186,177.065,178.699
CL,PT,88,-1.000,203.265,234.177,236.590,255.285,127.168,128.641
CL,PW,16,-1.000,288.521,319.874,319.874,321.071,272.791,291.044
CL,PY,14,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000,-1.000
CL,RO,149,-1.000,228.511,257.359,268.963,290.765,155.607,156.665
CL,RS,62,-1.000,221.417,250.819,254.099,264.464,136.474,138.728
CL,RU,322,-1.000,250.905,334.379,374.341,509.102,195.596,197.445
